Link,Name
http://www.wikidata.org/entity/Q31336391,चेतराम वर्मा
http://www.wikidata.org/entity/Q64002252,सुब्रत पाठक
http://www.wikidata.org/entity/Q56221411,बेबी रानी मौर्य
http://www.wikidata.org/entity/Q7686941,तरुण विजय
http://www.wikidata.org/entity/Q31330599,पुद्दन राम
http://www.wikidata.org/entity/Q31337840,राजबली
http://www.wikidata.org/entity/Q31336487,जमीलुर्रहमान किदवई
http://www.wikidata.org/entity/Q31334262,गिरवर प्रसाद
http://www.wikidata.org/entity/Q31313786,डॉ० धर्मवीर गांधी
http://www.wikidata.org/entity/Q17279338,गुरुमुख निहाल सिंह
http://www.wikidata.org/entity/Q3531998,सी रंगराजन
http://www.wikidata.org/entity/Q15697689,सुषमा सिंह
http://www.wikidata.org/entity/Q7499213,शिव प्रताप शुक्ल
http://www.wikidata.org/entity/Q192207,श्री अरविन्द
http://www.wikidata.org/entity/Q31329721,उमाशंकर तिवारी
http://www.wikidata.org/entity/Q7928182,विद्या स्टोक्स
http://www.wikidata.org/entity/Q7237240,प्रभातसिंह प्रतापसिंह चौहान
http://www.wikidata.org/entity/Q16902260,राम चन्द्र हंसदा
http://www.wikidata.org/entity/Q29913416,संगीता बिन्द बलवंत
http://www.wikidata.org/entity/Q7237399,प्रदीप जैन ‘आदित्य’
http://www.wikidata.org/entity/Q4751365,आनंदीबेन पटेल
http://www.wikidata.org/entity/Q31333679,शम्भू दयाल
http://www.wikidata.org/entity/Q20716781,हेमंत श्रीराम पाटील
http://www.wikidata.org/entity/Q31336506,डाक्टर जवाहर लाल
http://www.wikidata.org/entity/Q855128,भुपेन हजारिका
http://www.wikidata.org/entity/Q467201,मीरा कुमार
http://www.wikidata.org/entity/Q23806393,यशोधरा दासप्पा
http://www.wikidata.org/entity/Q31331297,राम अधार तिवारी
http://www.wikidata.org/entity/Q59155,अरविंद केजरीवाल
http://www.wikidata.org/entity/Q22006737,आशुतोष मौर्य उर्फ राजू
http://www.wikidata.org/entity/Q31333739,शिव प्रसाद नागर
http://www.wikidata.org/entity/Q19882315,भास्कर तुकाराम ऑटि
http://www.wikidata.org/entity/Q31314216,महेन्द्र अरिदमन सिंह
http://www.wikidata.org/entity/Q21064369,रुचि वीरा
http://www.wikidata.org/entity/Q31332842,धनुषधारी पांडेय
http://www.wikidata.org/entity/Q16908874,शरद बनसोडे
http://www.wikidata.org/entity/Q45192003,धीरेंद्र सिंह
http://www.wikidata.org/entity/Q7695160,तेज सिंह
http://www.wikidata.org/entity/Q5225537,दर्शना जरदोष
http://www.wikidata.org/entity/Q31332085,हमीद खां
http://www.wikidata.org/entity/Q8046764,यज्ञदत्त शर्मा
http://www.wikidata.org/entity/Q31333397,राज देव उपाध्याय
http://www.wikidata.org/entity/Q1190782,मैथिलीशरण गुप्त
http://www.wikidata.org/entity/Q64011479,कालानिधि वीरास्वामी
http://www.wikidata.org/entity/Q31323218,बादशाह सिंह
http://www.wikidata.org/entity/Q31314366,लक्ष्मी गौतम
http://www.wikidata.org/entity/Q15983479,नंद लाल
http://www.wikidata.org/entity/Q31314435,विनोद सरोज
http://www.wikidata.org/entity/Q4907275,विजय चक्रवर्ती
http://www.wikidata.org/entity/Q16728896,देवेन्द्र फडणवीस
http://www.wikidata.org/entity/Q4751468,अनंत कुमार
http://www.wikidata.org/entity/Q16149779,आनंद कुमार
http://www.wikidata.org/entity/Q3482430,शोभना भारतीय
http://www.wikidata.org/entity/Q31334423,झारखंडे राय
http://www.wikidata.org/entity/Q31314228,मो0 आसिफ जाफरी
http://www.wikidata.org/entity/Q5698076,हीरा लाल शास्त्री
http://www.wikidata.org/entity/Q31333974,हरिहर बख्श सिंह
http://www.wikidata.org/entity/Q31334961,बाबू सिंह
http://www.wikidata.org/entity/Q31335937,सिया दुलारी
http://www.wikidata.org/entity/Q12453161,वी.रमेश कट्टी
http://www.wikidata.org/entity/Q31330449,दीन दयाल शास्त्री
http://www.wikidata.org/entity/Q14152864,प्रकाशवीर शास्त्री
http://www.wikidata.org/entity/Q6319425,ज्योति प्रसाद राजखोवा
http://www.wikidata.org/entity/Q16194549,शेर सिंह घुबाया
http://www.wikidata.org/entity/Q6122264,जगबीर सिंघ छिन
http://www.wikidata.org/entity/Q31332156,अतीकुर्रहमान
http://www.wikidata.org/entity/Q6547529,लीलाधर वाघेला
http://www.wikidata.org/entity/Q31335330,"कुंवर, रूद्र प्रताप सिंह"
http://www.wikidata.org/entity/Q3532614,जगदीश टाइटलर
http://www.wikidata.org/entity/Q4683091,आदित्य ठाकरे
http://www.wikidata.org/entity/Q17355773,पद्मनाभ बालकृष्ण आचार्य
http://www.wikidata.org/entity/Q16937405,मरगतम के॰
http://www.wikidata.org/entity/Q31314554,सत्यवीर सिंह गुर्जर
http://www.wikidata.org/entity/Q6733244,महाराज कृष्ण रसगोत्रा
http://www.wikidata.org/entity/Q196617,मौलाना अबुल कलाम आज़ाद
http://www.wikidata.org/entity/Q3631395,वेल्लोडी नारायण मेनन के.
http://www.wikidata.org/entity/Q6962539,नैन्सी ऐन सिंथिया फ्रांसिस
http://www.wikidata.org/entity/Q31338814,शीतला प्रसाद सिंह
http://www.wikidata.org/entity/Q31314233,मौ0 अलीम खां
http://www.wikidata.org/entity/Q31334428,चौधरी डल्ला राम
http://www.wikidata.org/entity/Q3632667,भाई परमानन्द
http://www.wikidata.org/entity/Q3763779,सी.डी. देशमुख
http://www.wikidata.org/entity/Q31333690,श्याम मनोहर मिश्र
http://www.wikidata.org/entity/Q7228700,पूनम महाजन राव
http://www.wikidata.org/entity/Q16897896,कोंडा विश्वेश्वर रेड्डी
http://www.wikidata.org/entity/Q3764678,केलाड़ी चेन्नम्मा
http://www.wikidata.org/entity/Q5584200,गोपाल सिंह
http://www.wikidata.org/entity/Q7409541,समीर रंजन बर्मन
http://www.wikidata.org/entity/Q16199742,लालचंद कटारिया
http://www.wikidata.org/entity/Q16907470,हिना गावित
http://www.wikidata.org/entity/Q31332161,अनन्त राम वर्मा
http://www.wikidata.org/entity/Q3504500,ई. के. नयनार
http://www.wikidata.org/entity/Q31337836,राजनाथ
http://www.wikidata.org/entity/Q31314192,बृजलाल सोनकर
http://www.wikidata.org/entity/Q31332343,कैलाश कुमार सिंह
http://www.wikidata.org/entity/Q6123435,जय नारायण व्यास
http://www.wikidata.org/entity/Q4734299,आलोक कुमार मेहता
http://www.wikidata.org/entity/Q7426931,सत्यनारायण जटिया
http://www.wikidata.org/entity/Q53568446,शकुंतला खटीक
http://www.wikidata.org/entity/Q2757497,जयंत खत्री
http://www.wikidata.org/entity/Q19975926,चुनीभाई कानजीभाई गोहेल
http://www.wikidata.org/entity/Q31334761,पातीराम अहरवार
http://www.wikidata.org/entity/Q17198781,तमिलिसै सौंदरराजन
http://www.wikidata.org/entity/Q24817466,चौधरी दलबीर सिंह
http://www.wikidata.org/entity/Q19518263,नूपुर शर्मा
http://www.wikidata.org/entity/Q1896702,जगन्नाथ पहाड़ीया
http://www.wikidata.org/entity/Q5091883,हेमनन्द बिश्वाल
http://www.wikidata.org/entity/Q31322938,केदारनाथ वर्मा
http://www.wikidata.org/entity/Q31331614,लुत्फ अली खां
http://www.wikidata.org/entity/Q31333510,राम सुन्दर पांडेय
http://www.wikidata.org/entity/Q5094693,पु ललथनहवला
http://www.wikidata.org/entity/Q59782208,आकाश विजयवर्गीय
http://www.wikidata.org/entity/Q277422,मुकेश
http://www.wikidata.org/entity/Q31329848,कृष्ण चन्द्र गुप्त
http://www.wikidata.org/entity/Q16190905,नंदीनी मुखर्जी
http://www.wikidata.org/entity/Q7418438,संजय जयसवाल
http://www.wikidata.org/entity/Q31334259,गिरजा प्रसाद
http://www.wikidata.org/entity/Q6122638,जगीर कौर
http://www.wikidata.org/entity/Q31323487,राम सेवक सिंह पटेल
http://www.wikidata.org/entity/Q31333839,सईद अहमद अन्सारी
http://www.wikidata.org/entity/Q16937403,सी॰ महेन्द्रन
http://www.wikidata.org/entity/Q31334274,गोपी नाथ दीक्षित
http://www.wikidata.org/entity/Q31337799,रूस्तम सैटिन
http://www.wikidata.org/entity/Q12177483,इन्दुलाल याज्ञिक
http://www.wikidata.org/entity/Q31314127,सुखदेव प्रसाद वर्मा
http://www.wikidata.org/entity/Q31330815,बसन्त लाल
http://www.wikidata.org/entity/Q31330473,धर्म सिंह
http://www.wikidata.org/entity/Q4170627,गोदावरीश मिश्र
http://www.wikidata.org/entity/Q31323031,छत्रपाल सिंह
http://www.wikidata.org/entity/Q31333053,बलवान सिंह
http://www.wikidata.org/entity/Q16106584,प्रेम चौधरी
http://www.wikidata.org/entity/Q31350334,नीरज
http://www.wikidata.org/entity/Q3630549,बिन्देश्वरी प्रसाद मंडल
http://www.wikidata.org/entity/Q31332012,सालिग राम जायसवाल
http://www.wikidata.org/entity/Q17495852,रोनाल्ड सपा लाउ
http://www.wikidata.org/entity/Q16193766,नरोत्तम मिश्रा
http://www.wikidata.org/entity/Q31331841,शिव कुमार मिश्र
http://www.wikidata.org/entity/Q31332149,होती लाल दास
http://www.wikidata.org/entity/Q61510062,महेश साहू
http://www.wikidata.org/entity/Q31333217,मूल चन्द्र
http://www.wikidata.org/entity/Q31313788,डॉ॰ संजय जयसवाल
http://www.wikidata.org/entity/Q16734915,राम स्वरूप शर्मा
http://www.wikidata.org/entity/Q7906086,वि. के. आर. वि. राव
http://www.wikidata.org/entity/Q31331209,रतनलाल जैन
http://www.wikidata.org/entity/Q7503926,श्रीचन्द कृपलानी
http://www.wikidata.org/entity/Q31331122,मोहम्मद अब्दुल लतीफ
http://www.wikidata.org/entity/Q16902209,मुकेश राजपूत
http://www.wikidata.org/entity/Q4725266,अली यावर जंग
http://www.wikidata.org/entity/Q6122332,जगदीश नेहरा
http://www.wikidata.org/entity/Q31323471,राम प्रसाद जायसवाल
http://www.wikidata.org/entity/Q7799229,थुप्सतान छेवांग
http://www.wikidata.org/entity/Q31336185,उदित नारायण शर्मा
http://www.wikidata.org/entity/Q7633281,सुदाम मरांडी
http://www.wikidata.org/entity/Q2017412,ओकरम इबोबी सिंह
http://www.wikidata.org/entity/Q31350328,दीप नारायण सिंह
http://www.wikidata.org/entity/Q5512089,जी. एस. बासवराजू
http://www.wikidata.org/entity/Q2773185,विद्यागौरी नीलकंठ
http://www.wikidata.org/entity/Q16979326,सलिल विश्नोई
http://www.wikidata.org/entity/Q7285976,राजेंद्र अग्रवाल
http://www.wikidata.org/entity/Q4772916,ऐण्टनी लान्सलॉट डियास
http://www.wikidata.org/entity/Q31323715,सर्वेश कुमार सिंह ‘सीपू’
http://www.wikidata.org/entity/Q42411100,कृष्ण दत्त पालीवाल
http://www.wikidata.org/entity/Q19539004,दलीप सिंह
http://www.wikidata.org/entity/Q983328,शेख़ अब्दुल्ला
http://www.wikidata.org/entity/Q31314494,शिव प्रताप यादव
http://www.wikidata.org/entity/Q45977,प्रेम दास राई
http://www.wikidata.org/entity/Q2721812,कन्हैयालाल मुंशी
http://www.wikidata.org/entity/Q61103090,फतेह सिंह
http://www.wikidata.org/entity/Q31322911,उदयभान करवरिया
http://www.wikidata.org/entity/Q31336345,गिरीश चन्द्र तिवारी
http://www.wikidata.org/entity/Q31322755,अकीलुर्रहमान खां
http://www.wikidata.org/entity/Q12441608,बालाशौरी वल्लभानेनी
http://www.wikidata.org/entity/Q16213638,इमरान मसूद
http://www.wikidata.org/entity/Q15055331,सोमनाथ भारती
http://www.wikidata.org/entity/Q3633158,ए आर किदवई
http://www.wikidata.org/entity/Q31330846,बाबूलाल कुशुमेश
http://www.wikidata.org/entity/Q6323498,कलवाकुन्ट्ल कविता
http://www.wikidata.org/entity/Q31314374,ललितेश पति त्रिपाठी
http://www.wikidata.org/entity/Q248484,इन्द्र कुमार गुजराल
http://www.wikidata.org/entity/Q24568986,प्रमिला रानी ब्रह्म
http://www.wikidata.org/entity/Q319824,चौधरी चरण सिंह
http://www.wikidata.org/entity/Q17307618,शिवराजवती नेहरू
http://www.wikidata.org/entity/Q31331200,रणंजय सिंह
http://www.wikidata.org/entity/Q28151891,प्रीतम सिंह
http://www.wikidata.org/entity/Q31329707,उदय भान सिंह
